Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R18,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,78.2,-30.4,180.0,top
R19,560,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,78.2,-74.8,180.0,top
R20,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,78.2,-41.1,0.0,top
R21,560,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,78.2,-77.2,180.0,top
R22,560,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,78.2,-79.8,180.0,top
R23,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,78.2,-43.1,180.0,top
R24,560,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,78.2,-19.8,180.0,top
R25,560,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,78.2,-21.8,180.0,top
R26,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,78.2,-36.9,0.0,top
R27,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,78.2,-38.9,180.0,top
R28,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,14.4,-76.3,180.0,top
R29,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,14.4,-74.3,0.0,top
R30,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,14.4,-80.5,180.0,top
R31,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,14.4,-78.5,0.0,top
R32,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,65.15,-5.7,90.0,top
R33,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,67.15,-5.7,-90.0,top
U1,TL074,SOIC-14_3.9x8.7mm_P1.27mm,35.1,-86.8,0.0,top
U2,STM32H743ZITx,LQFP-144_20x20mm_P0.5mm,45.6,-42.8,180.0,top
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,45.8,-64.0,90.0,top
U4,PCM5100APW,SSOP-20_4.4x6.5mm_Pitch0.65mm_Round_Pads,55.3,-86.8,0.0,top
U5,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,23.5,-42.8,90.0,top
U6,TPS561201,SOT-23-6_Handsoldering,71.55,-6.3,0.0,top
U7,LD1117-3.3-4Tab,SOT-223-3_TabPin2,27.4,-8.2,270.0,top
Y1,12MHz 20pF,Crystal_SMD_5032-2Pin_5.0x3.2mm,43.85,-24.6,0.0,top
